200,-1,108,97,94,-13312,1418,-5700,-14.7181,-153.448
201,-1,2,270,133,-14422,1948,-6216,-25.2115,-128.117
202,-1,166,207,53,-15396,1952,-6898,-4.90857,-122.154
203,-1,315,30,-354,-15564,1492,-6860,-10.5893,-123.969
204,-1,342,-3,-139,-14962,1662,-6208,7.90986,-123.208
205,-1,279,44,-179,-14046,1704,-5560,-11.343,-128.703
206,-1,370,21,-357,-13288,2586,-6246,-9.82211,-94.3034
207,-1,566,230,-201,-12716,4230,-7150,-22.4156,-66.5506
208,1,1008,464,-414,-12256,4020,-8592,-36.5069,-21.5149
209,1,1437,141,-932,-13592,2616,-9868,-16.7104,8.92009
210,1,1656,-6,-1188,-14440,-1598,-9402,8.76758,-8.21598
211,1,1604,-491,-1367,-16262,-3964,-8928,38.2866,-27.1172
212,1,1015,-219,-804,-20196,-8812,-8498,21.4341,-117.581
213,-1,416,-650,-18,-17114,-5590,-6540,47.6122,-144.957
214,-1,74,-1057,-142,-16050,-590,-7350,72.3759,-142.865
215,-1,79,-731,-960,-14382,-1236,-5784,52.5265,-124.308
216,-1,109,-753,-1813,-14184,-2352,-4524,53.8988,-106.201
217,-1,121,-268,-1080,-13834,-5624,-2960,24.3705,-129.221
218,-1,23,66,281,-13294,-8876,-3928,4.0757,-152.539
219,-1,191,-15,888,-13574,-5486,-3586,9.06843,-136.842
220,-1,226,327,855,-13802,-3558,-4632,-28.2041,-135.894
221,-1,199,295,536,-15406,-1370,-5456,-26.287,-138.615
222,-1,246,-245,286,-17136,-2616,-4576,22.9805,-147.737
223,-1,414,-788,525,-17964,-4628,-3566,55.9221,-182.086
224,-1,626,-1537,-104,-17408,154,-1800,101.443,-198.672
225,-1,528,-1280,-359,-15286,-566,-170,85.7198,-128.329
226,-1,313,-726,-215,-15062,-3974,1112,51.8923,-131.858
227,-1,94,170,-742,-12372,-3280,2494,-2.65701,-97.4806
228,-1,88,778,-95,-13092,-5680,1898,-56.1385,-112.812
229,-1,107,964,280,-14658,-6122,522,-67.4927,-110.759
230,-1,46,992,-93,-15382,-5332,-1380,-69.2383,-134.074
231,-1,100,1027,429,-16962,-7174,-3630,-71.4758,-126.339
232,-1,163,436,880,-16688,-6262,-4700,-35.5228,-131.865
233,-1,190,524,533,-15552,-5686,-4998,-40.9123,-148.81
234,-1,398,194,210,-15114,-4892,-5536,-20.7907,-184.984
235,-1,626,204,186,-14328,-2588,-5518,-21.3619,-187.158
236,1,818,550,532,-13730,-1236,-5828,-42.3894,-175.639
237,1,808,508,465,-14508,286,-6388,-39.7907,-173.332
238,-1,677,346,200,-15306,1366,-7038,-29.9084,-156.146
239,-1,555,199,373,-15584,1454,-6980,-4.48946,-151.804
240,-1,475,44,345,-15936,1658,-6962,-11.5238,-161.286
241,-1,376,-27,165,-15630,1022,-6766,9.25983,-141.377
242,-1,348,-28,238,-15062,870,-6282,9.33603,-148.504
243,-1,236,-9,554,-15192,542,-6102,8.18571,-123.863
244,-1,178,7,164,-14740,386,-6104,-9.22442,-127.784
245,-1,82,-21,122,-14978,468,-6356,8.96317,-127.81
246,-1,57,-92,3,-15302,310,-6332,13.2934,-132.936
247,-1,116,121,20,-15724,0,-6262,0.288272,-122.064
248,-1,179,-272,171,-15876,-602,-6218,24.2255,-125.103
249,-1,248,-271,258,-15882,-492,-5664,24.1361,-149.331
250,-1,239,-274,298,-15500,-342,-5428,24.3047,-139.991
251,-1,341,-276,304,-15578,-26,-5022,24.4066,-162.42
252,-1,416,25,381,-15214,816,-4884,6.048,-163.186
253,-1,443,128,162,-14548,1504,-4670,-0.209458,-142.74
254,-1,323,-66,347,-14942,2650,-4748,11.6247,-136.35
255,-1,194,-108,106,-15044,3370,-5242,14.1847,-135.177
256,-1,197,-89,102,-15080,3940,-4748,13.0224,-140.32
257,-1,196,-32,49,-14872,4182,-4554,9.55053,-116.639
